JEAFBPFEDAM	BPGIGODONBH	CGGMNMMBOND	NLFMOMNLBDJ	PGABGPKMNAN	CGMCBILGBLC	FPCBLGCAKBP	LGKEHFPCIJE	GINIFNCJGKI	FIONDMKOIJI	OAHAOLFCLOK	PNCCJLPGLEB	IPEJKELGEPE	GLFAHCGDBJD	EHPLOJAFJFI	NOHPFLNFAOK	APGDLLPCHDI	MNGJEEHMOMD	JIANHJDNLHL	teleport_id
[]	"FortuneNEPS_PlayerPos_Default"	102	"1040140372"	"TeleportName_14"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconNEPS.png"	100011	FALSE	""	403	1	[]	80	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	14
[]	"Zero_PlayerPos_Default"	151	"1040140270"	"TeleportName_16"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconZone.png"	100011	FALSE	""	501	1	[]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	16
[]	"Garage_PlayerPos_FromConstructionSite"	3	"1040140073"	"TeleportName_17"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconParking.png"	100001	FALSE	""	51	1	[]	5	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	52
[]	"WorkshopUpStairs_PlayerPos_ToUpStairs"	2	"1040140261"	"TeleportName_53"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconRandom2F.png"	100001	FALSE	""	4	1	[]	5	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	53
[]	"Workshop_Teleport_ToArchieve"	2	""	"TeleportName_54"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStaff.png"	100018	FALSE	""	2	1	[]	5	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	54
[]	"Workshop_Teleport_ToHDD"	2	""	"TeleportName_55"	1161	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconHDD.png"	100001	FALSE	""	1	1	[]	5	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	55
[]	"Street_Teleport_ToMewji"	1	"1040140302"	"TeleportName_100"	1231	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconNiaKichi.png"	100002	TRUE	""	1	1	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	100
[]	"Street_Teleport_ToTrash"	1	"1060140220"	"TeleportName_103"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconTrash.png"	100011	FALSE	""	10	1	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	103
[]	"Street_Teleport_ToBoxGalaxy"	1	"1040140072"	"TeleportName_11"	1071	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconBox.png"	100011	FALSE	""	12	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	111
[]	"ConstructionSite_Teleport_ToMewji"	4	"1030140001"	"TeleportName_201"	1232	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconNiaKichi.png"	1008	TRUE	""	201	1	[]	20	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	201
[]	"SkyScraper_Teleport_ToMewji"	5	"1030140002"	"TeleportName_301"	1233	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconNiaKichi.png"	100011	TRUE	""	301	1	[]	30	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	301
[]	"FortuneSquare_Teleport_ToMewji"	101	"1030140003"	"TeleportName_401"	1234	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconNiaKichi.png"	100011	TRUE	""	1	1	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	401
[]	"FortuneHIA_PlayerPos_Default"	103	"1040140268"	"TeleportName_15"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconHIA.png"	100011	FALSE	""	402	1	[]	70	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	406
[]	"FortuneSquare_PlayerPos_To141shop01"	101	"1040140260"	"TeleportName_02"	1002	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/Icon141.png"	100002	FALSE	""	5	1	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	407
[]	"FortuneSquare_PlayerPos_ToRamen01"	101	"1040140260"	"TeleportName_03"	1012	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconNoodle.png"	100003	FALSE	""	4	1	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	408
[]	"FortuneSquare_PlayerPos_ToCafe01"	101	"1040140260"	"TeleportName_06"	1022	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconCoff.png"	100006	FALSE	""	2	1	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	409
[]	"FortuneSquare_PlayerPos_ToNewsstand01"	101	"1040140260"	"TeleportName_410"	1062	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconNewStand.png"	100009	FALSE	""	3	1	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	410
[]	"FortuneSquare_Teleport_ToTrash"	101	"1040140260"	"TeleportName_103"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconTrash.png"	100011	FALSE	""	7	1	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	411
[]	"QuestActiveCourse01_PlayerPos_HIA"	103	"1060060058"	"TeleportName_18"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconHIACampIdle.png"	100011	FALSE	""	412	1	[]	70	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	412
[]	"Activity_SayItWithFlowers_FortuneSquare_PlayerPos_shop_tele"	101	"1100141172"	"TeleportName_413"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconGardeningShop.png"	100011	FALSE	""	9	1	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	413
[]	"FortuneSquare_PlayerPos_ToCinema01"	101	"1040140260"	"TeleportName_414"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconGravity.png"	100011	FALSE	""	6	1	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	414
[]	"Zero_PlayerPos_Teleport02"	151	"1040140270"	"TeleportName_503"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconInterior.png"	100011	FALSE	""	503	1	[]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	502
[]	"Zero_PlayerPos_AbyssShopEnter"	151	"1060140044|1040140556"	"TeleportName_504"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconLogistics.png"	100011	FALSE	""	504	1	[]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	504
[]	"Zero_PlayerPos_NewHadal"	151	"1040140522"	"TeleportName_505"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconAssault.png"	100011	FALSE	""	505	1	[]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	505
[]	"FortuneHIA_TeleportPos_001"	103	"1040140066&30070036"	"TeleportName_701"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconBattleTower.png"	100011	FALSE	""	701	1	[]	70	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	701
[]	"OuterRing_PlayerPos_ToArea1"	104	"1040140418"	"TeleportName_901"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconLowerLevel.png"	100011	FALSE	""	905	1	[]	90	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	901
[]	"OuterRing_TeleportPos_Trash01"	104	"1050104999"	"TeleportName_902"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconTrash.png"	100011	FALSE	""	904	1	[]	90	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	902
[]	"OuterRing_PlayerPos_ToArea2"	104	"1040140418"	"TeleportName_903"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconUpperLevel.png"	100011	FALSE	""	902	1	[]	90	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	903
[]	"OuterRing_TeleportPos_Meow01"	104	"1060060068"	"TeleportName_904"	1235	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconNiaKichi.png"	100011	TRUE	""	901	1	[]	90	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	904
[]	"OuterRing_TeleportPos_Cheesetopia01"	104	"1040140418"	"TeleportName_905"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconCheesetopia.png"	100011	FALSE	""	903	1	[]	90	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	905
[117]	"Street_PlayerPos_Activity002"	1	"1040140088"	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconPlaza.png"	20102	FALSE	""	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1001
[117]	"Street_PlayerPos_Activity001"	1	""	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconPlaza.png"	20103	FALSE	""	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1002
[]	"Street_Teleport_ToCafe"	1	"1040140126"	"TeleportName_06"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconCoff.png"	100006	FALSE	""	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1003
[]	"FortuneHIA_PlayerPos_Professional"	103	"1040140119"	"TeleportName_15"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIVRBossInfoPageController"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1004
[117]	"Street_PlayerPos_Activity003"	1	"1040140073"	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/Icon141.png"	20109	FALSE	""	0	0	[]	10	[]	[10130011]	TRUE	"TeleportName_01_DecorativeText"	1	1005
[]	"Street_DailyQuest_Teleport1"	1	"1040140088"	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	""	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1006
[]	"Street_DailyQuest_Teleport2"	1	"1040140088"	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	""	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1007
[]	"Street_DailyQuest_Teleport3"	1	"1040140088"	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	""	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1008
[]	"FortuneHIA_PlayerPos_Quest10020183_2"	103	"1040140119"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIDailyChallengePageController"	0	0	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1009
[]	"Zero_NPCPos_RoutineCleanupDefault"	151	"1040140193"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIDoubleElitePageController"	0	0	[]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1010
[]	"FortuneHIA_PlayerPos_Professional"	103	"30120037"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIVRBossBattlePageController"	0	0	[1]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1011
[]	"Zero_NPCPos_NotoriousHuntDefault"	151	"30120038"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIVRBossInfoPageController"	0	0	[0]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1012
[]	"FortuneHIA_PlayerPos_Quest10020183_2"	103	"1040140119"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIVRMainPageController"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1013
[]	"Zero_PlayerPos_HadalEnter"	151	"1040140215"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIBattlePortal_HadalZonePageController"	0	0	[]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1014
[]	"Zero_PlayerPos_AbyssEnter"	151	"1063080004|1040140553"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIAbyssEntrancePageController"	0	0	[]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1015
[]	"Workshop_PlayerPos_HollowPause"	2	"1040140230"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIYorozuyaPage"	0	0	[1]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1016
[]	"Workshop_PlayerPos_DailyQuest"	2	"1040140191"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIDailyQuestScheduleDialog"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1017
[]	"Street_PlayerPos_Trash01"	1	"1060140220"	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	""	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1018
[]	"Workshop_PlayerPos_HollowPause"	2	"1190000003"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIYorozuyaPage"	0	0	[1]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1019
[]	"FortuneHIA_PlayerPos_Quest10020183_2"	103	"1040140119"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIDailyChallengePageController"	0	0	[1]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1020
[]	"FortuneHIA_PlayerPos_Quest10020183_2"	103	"1040140119"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIDailyChallengePageController"	0	0	[2]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1021
[]	"FortuneHIA_PlayerPos_Quest10020183_2"	103	"1040140119"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIDailyChallengePageController"	0	0	[3]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1022
[]	"FortuneHIA_PlayerPos_Quest10020183_2"	103	"1040140119"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIDailyChallengePageController"	0	0	[4]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1023
[]	"FortuneHIA_PlayerPos_Quest10020183_2"	103	"1040140119"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIDailyChallengePageController"	0	0	[5]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1024
[]	"Street_Teleport_ToGodFinger"	1	"1040140070"	"TeleportName_08"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconCod.png"	100008	FALSE	"UIArcadePageController"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1025
[117]	"Street_PlayerPos_ActivityRP_001"	1	"1100140059"	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/Icon141.png"	100002	FALSE	""	0	0	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1026
[117]	"Street_PlayerPos_ActivityRP_002"	1	"1100140059"	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/Icon141.png"	100002	FALSE	""	0	0	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1027
[117]	"FortuneSquare_PlayerPos_ActivityRP_003"	101	"1100140059"	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconLuminar.png"	100011	FALSE	""	0	0	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1028
[117]	"FortuneSquare_PlayerPos_ActivityRP_004"	101	"1100140059"	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconLuminar.png"	100011	FALSE	""	0	0	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1029
[117]	"FortuneSquare_PlayerPos_ActivityRP_005"	101	"1100140059"	""	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconLuminar.png"	100011	FALSE	""	0	0	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1030
[117]	"Workshop_PlayerPos_HollowPause"	2	"1100140060"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIYorozuyaPage"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1031
[117]	"Workshop_PlayerPos_HollowPause"	2	"1100140061"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIYorozuyaPage"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1032
[]	"Workshop_PlayerPos_HollowPause"	2	"1040140154"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIYorozuyaPage"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1033
[]	"Workshop_PlayerPos_FromWorkStation"	2	"1040140077"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIWorkBenchMainPage"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1034
[]	"Workshop_PlayerPos_FromCharacterQuest"	2	"1040140086"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIMainStoryPage"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1035
[]	"Street_NPCPos_RandomBreak_Day1Teleport"	1	"1100140122"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	""	0	0	[]	10	[]	[10130061]	TRUE	"TeleportName_01_DecorativeText"	1	1036
[117|123]	"Street_PlayerPos_TowardConnie"	1	""	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	""	0	0	[]	10	[]	[70530|70531|70532|70533|70534|70535|70536|70271|70272|70273|70274|70275|70276|70277|70278|70279]	TRUE	"TeleportName_01_DecorativeText"	1	1037
[]	"Zero_PlayerPos_AbyssShopEnter"	151	"1040140556"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIShoppingMallCasperPageController"	0	0	[0]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1038
[]	"Zero_PlayerPos_AbyssShopEnter"	151	"1040140556&1040140215"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	"UIShoppingMallCasperPageController"	0	0	[1]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1039
[]	"Street_Teleport_ToGodFinger"	1	"1040140070"	"TeleportName_08"	1091	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconCod.png"	100008	FALSE	"UIArcadePageController"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1040
[]	"Street_Teleport_ToGrocery"	1	"1040140073"	"TeleportName_02"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/Icon141.png"	100002	FALSE	"UIGroceryPageController"	13	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1041
[]	"Street_Teleport_ToCafe"	1	"1040140126"	"TeleportName_06"	1021	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconCoff.png"	100006	FALSE	"UICafePageController"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1042
[]	"Street_Teleport_ToNewsStand"	1	"1040140088"	"TeleportName_09"	1061	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconNewsstand.png"	100009	FALSE	"UINewsStandPageController"	0	0	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1043
[]	"Workshop_Teleport_ToWorkshop"	2	""	"TeleportName_01"	1121	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconRandom1F.png"	100001	FALSE	"UIVHSStorePageController"	0	0	[]	5	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1044
[]	"Zero_PlayerPos_AbyssEnter"	151	"1063080004|1040140553"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	""	0	0	[]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1045
[]	"Zero_PlayerPos_AbyssEnter"	151	"1021228250"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	""	0	0	[]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1046
[]	"Zero_PlayerPos_AbyssEnter"	151	"1021228250"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	""	0	0	[]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1047
[]	"Zero_PlayerPos_AbyssEnter"	151	"1021228250"	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100001	FALSE	""	0	0	[]	50	[]	[]	TRUE	"TeleportName_01_DecorativeText"	2	1048
